pig        [名詞] 豬       ex.I am a pig.
beautiful  [形容詞] 漂亮    ex.I am so beautiful.                [Ptt]
KCPA [專有名詞 仿冒必究] 高雄文化交流促進協會                    [Pavrotti]
shit        [名詞] 屎         ex: I eat shit everyday.           [ming)
oral       [形容詞] 口頭上的   ex: Oral sex is a good thing.     [ming]
& 和
a 一個
about 約關
absent 缺席
absolute 絕對的
access 存取
account 計算
acronym 首字語
affection 愛
after 之後
again 再次
air 空氣
aires 愛麗絲
alias 別名
all 一切
am 是
ambiguous 模糊的
an 一個
and 和
another 另一個
any 任何
appears 顯出
append 加入
are 是
around 周圍
as 像
ask 問
asked 問了
asks 問
assemble 組合
at 在
atlanta 亞特蘭大
attosecond 萬京分之一秒
attoseconds 數個萬京分之一秒
attribute 屬性
authorities 權威機關
away 離去
back 後
background 背景
bad 壞
bar 棒子
base 基礎
basic 基礎的
bbsing 上站中
be 是
beautiful 美麗的
beauty 美麗
become 變成
been 曾是
beep 嗶
begin 開始
beijing 北京
beings 存在物
beside 在旁
better 更好
binary 二元
biosphere 生物圈
body 體
brain 腦
breaking 打斷
bribery 賄賂
broadcasted 播送了
broadcasting 廣播中
browse 瀏覽
budget 預算
buenos 布宜諾司
bugs 蟲
but 但是
buy 買
Buzz Light Year 巴斯光年
buzzing 嗡嗡著
by 由
bye 再見
call 叫
called 叫了
calling 叫中
calls 叫
came 來了
can 能
can't 不能
cannot 不能
care 關照
cares 關照
case 情況
cell 細胞
cells 細胞
chain 鍵結
chat 聊天
chose 選了
circle 圓
clear 清除
clock 時鐘
close 關
collapse 崩潰
collapsed 崩潰了
collapses 崩潰
color 顏色
come 來
comes 來
command 命令
common 通用的
communist 共產黨的
communists 共產黨人
community 社區
computer 電腦
comrade 同志
comrades 同志們
conference 會議
connect 連接
connected 連接了
connects 連接
consciousness 意識
constant 常數
constitution 憲法
continent 大陸
copper 銅
cosine 餘弦
count 算
counted 算了
countries 國家
country 國家
counts 算
couple 對
courage [名詞] 勇氣                                             [courage]
created 創了
creates 創
creative 創造的
creator 創造者
data 資料
datastore 資料庫
date 日期
day 日
death 死
debut 處女作
decide 決定
declare 宣告
define 定義
definition 定義
demonstrations 示威
depends 依賴
depth 深度
derived 衍生了
deserted 遺棄了
destined 訂下目標了
did 作了
didn't 未做
died 死了
dimention 空間
discovered 發現了
disposal 處理
do 做
does 做
doesn't 沒
doing 正做中
don't 沒
done 作了
double 雙倍的
doubt 懷疑
down 下
draw 畫
during 在
dynamic 動態的
ear 耳
earth 地球
ec 歐體
ecology 生態學
effort 努力
elected 選了
else 否則
emphasized 著重
end 結束
ended 結束了
energy 能量
enjoy 享受
enjoys 享受
enough 足夠的
environment 環境
environmental 環境的
equivalence 等價
erase 擦去
error 錯誤
errorless 無誤的
establish 建立
even 甚至
event 事件
every 每一個
everyone 每個
everything 所有東西
evidence 證據
ex 前
exactly 準確地
except 除
exclude 除
exclusive 互斥
exist 存在
exists 存在
exit 離開
exponent 指數
extinct 絕種的
eye 眼
family 家庭
feel 感覺
feeling 感受
female 女的
fewer 更少
fiber 纖維
fiction 小說
field 欄位
figure 圖
file 檔案
files 檔案
fine 精細
first 第一
five 五
fix 修理
flew 飛了
followed 跟著
for 為了
forever 永遠
found 找到
free 自由
freedom 自由
frequency 頻率
from 從
fully 滿足地
function 函數
functions 函數
further 更遠
georgia 喬治亞
get 拿
give 給
globe 地球
go 去
go 走
goes 走
good 好
got 拿到了
government 政府
great 大的
guy 傢伙
happened 發生了
happening 發生中
happens 發生
happy 快樂
has 有
have 有
having 有
he 他
he's 他是
held 舉行了
her 她的
here 這裡
hey 嘿
him 他
his 他的
historically 歷史性地
hits 打
homo 人屬
how 如何
however 然而
hurrying 急忙中
i 我
if 如果
image 影像
impact 衝擊
in 在內
include 包含
influence 影響
input 輸入
integer 整數
intense 強力的
into 進入
is 是
isn't 不是
issues 討論
it 它
it's 它是
its 它的
itself 它自己
just 就是
kaihsu 凱序
keep 保持
key 鍵
kill 殺掉
kind 種
know 知道
knows 知道
korea 高麗
landed 著陸了
language 語言
last 最後
leader 領袖
leaders 領袖們
learned 學習了
least 最少
left 左邊
length 長度
let 讓
letters 字母信
lie 躺謊
life 生活
light 光
like 像
line 線
lines 線
list 列出
little 小
live 生活
loaded 載入了
local 地方的
locate 定位
lock 鎖上
logarithm 對數
long 長的
look 看
looked 看了
loop 迴圈
love 愛
magnetic 磁的
mails 郵件
main 主要的
major 大的
make 做
makes 做
male 男的
manifesto 宣言
match 媒合
may 可能
maybe 可能是
me 我
mean 意謂
means 意謂
medium 中介
memory 記憶
message 訊息
messages 訊息
mid 中間
minneapolis 明尼亞波里士
mode 模式
module 模
mom 媽
month 月份
months 數月
more 更多
moscow 莫斯科
most 最多
mouse 老鼠
move 移動
moves 移動
much 很多
muckracking 扒糞的
my 我的
name 名稱
narrating 敘述中
nasa 美國國家航空及太空總署
nation 國家
net 網
network 網路
neuron 神經元
neurons 神經元
new 新
news 新聞
next 下一個
no 沒有
nonsense 廢話
nor 也不是
north 北
not 不
nothing 無物
novel 小說
now 現在
nowhence 從無處
nowhere 無處
ntsc 國家電視標準協會
NTU 國立台灣大學
of 屬於
off 關了
ok 好
old 舊的
on 上
one 一個
ones 那些東西
only 只有
open 開
optic 光學的
option 選項
or 或
order 秩序
organized 組織了
other 其他
out 出
output 輸出
outside 在外
over 在上
own 擁有
pacific 太平洋
pains 辛苦
paint 塗色
painting 繪畫中
palette 調色盤
paradox 矛盾
part 部分
partake 參加
patient 有耐心
peek 窺視
pen 筆
people 人
perhaps 也許
person 人
photon 光子
photons 光子
physical 物體的
planet 行星
planetarian 行星的
play 玩
please 請
pleasure 舒適
plugged 插了
plus 加
point 點
poke 刺
precise 準確
precisely 準確地
premier 首相
preset 預設
president 總統
press 壓力
prevent 避免
prevented 避免了
prevents 避免
pride 驕傲
print 印出
printers 印表機
priorities 秩序
priority 秩序
probably 可能是
process 處理
processes 處理
processor 處理器
processors 處理器
produced 製造了
professor 教授
professors 教授
program 節目
programs 節目
pronunciation 發音
protests 抗議
pulse 脈衝
pulses 脈衝
put 放
quickly 快速地
radiation 輻射
radio 廣播
ram 隨機存取記憶體
random 隨機
randomize 搞亂
rapidly 快速地
ratified 訂定了
react 反應
reacted 反應了
reaction 反應
reactions 反應
reacts 反應
read 讀
real 真的
reality 現實
realize 了解
realized 了解了
realizes 了解
